,worldwide_gross_income_currency,worldwide_gross_income,usa_gross_income_currency,usa_gross_income,budget_currency,budget
389,USD,162556 ,USD,3181 ,EUR,1500
390,USD,3184 ,USD,3184 ,,
391,USD,134801 ,USD,3190 ,EUR,7700000
392,USD,3233 ,USD,3233 ,USD,103000 
393,USD,3234 ,USD,3234 ,,
394,USD,3234 ,USD,3234 ,,
395,,,USD,3242 ,,
396,USD,3244 ,USD,3244 ,USD,1000000 
397,USD,3252 ,USD,3252 ,,
398,USD,3256 ,USD,3256 ,USD,100000 
399,USD,3259 ,USD,3259 ,USD,1500000 
400,USD,1170351 ,USD,3259 ,,
401,USD,3260 ,USD,3260 ,,
402,USD,546584 ,USD,3262 ,,
403,USD,3264 ,USD,3264 ,USD,1650000 
404,USD,3287 ,USD,3287 ,,
405,USD,3289 ,USD,3289 ,,
406,USD,15476 ,USD,3290 ,EUR,900000
407,USD,26338 ,USD,3292 ,,
408,USD,3300 ,USD,3300 ,,
409,USD,3301 ,USD,3301 ,,
410,USD,3303 ,USD,3303 ,,
411,USD,48251 ,USD,3303 ,,
412,USD,800313 ,USD,3313 ,,
413,USD,3338 ,USD,3338 ,,
414,USD,3346 ,USD,3346 ,,
415,,,USD,3350 ,,
416,USD,3350 ,USD,3350 ,,
417,USD,3351 ,USD,3351 ,,
418,USD,3352 ,USD,3352 ,,
419,USD,624913 ,USD,3358 ,EUR,2500000
420,USD,3359 ,USD,3359 ,,
421,USD,92748 ,USD,3361 ,USD,16000000 
422,USD,1338136 ,USD,3375 ,,
423,USD,3383 ,USD,3383 ,,
424,USD,3386 ,USD,3386 ,,
425,USD,3400 ,USD,3400 ,,
426,USD,3586 ,USD,3401 ,,
427,,,USD,3409 ,,
428,USD,3434 ,USD,3434 ,,
429,USD,103118 ,USD,3450 ,USD,4000000 
430,USD,3451 ,USD,3451 ,,
431,USD,3456 ,USD,3456 ,USD,300000 
432,USD,30246 ,USD,3457 ,,
433,USD,14293 ,USD,3457 ,,
434,USD,2401291 ,USD,3462 ,,
435,USD,5623134 ,USD,3465 ,EUR,15000000
436,USD,3490 ,USD,3490 ,,
437,USD,57744 ,USD,3495 ,,
438,USD,3496 ,USD,3496 ,USD,300000 
439,USD,3514 ,USD,3514 ,,
440,USD,36145 ,USD,3519 ,USD,3900000 
441,USD,3533 ,USD,3533 ,,
442,USD,1995712 ,USD,3546 ,,
443,USD,3550 ,USD,3550 ,,
444,USD,3558 ,USD,3558 ,USD,650000 
445,USD,3567 ,USD,3567 ,,
446,USD,3574 ,USD,3574 ,,
447,USD,3576 ,USD,3576 ,,
448,USD,20571 ,USD,3580 ,,
449,USD,54147 ,USD,3601 ,,
450,USD,3549016 ,USD,3622 ,USD,47000000 
451,USD,3624 ,USD,3624 ,,
452,USD,61658 ,USD,3625 ,EUR,1100000
453,USD,3652 ,USD,3652 ,,
454,USD,25603 ,USD,3669 ,USD,8000000 
455,USD,491294 ,USD,3669 ,,
456,USD,3676 ,USD,3676 ,,
457,USD,3686 ,USD,3686 ,USD,800000 
458,USD,3696 ,USD,3696 ,,
459,USD,20435 ,USD,3697 ,USD,5000000 
460,USD,3700 ,USD,3700 ,USD,1000000 
461,USD,6090 ,USD,3718 ,USD,1500000 
462,,,USD,3732 ,,
463,USD,3733 ,USD,3733 ,,
464,USD,3736 ,USD,3736 ,,
465,USD,3751 ,USD,3751 ,,
466,USD,3755 ,USD,3755 ,,
467,USD,3768 ,USD,3768 ,,
468,USD,3770 ,USD,3770 ,,
469,USD,5478 ,USD,3774 ,GBP,450000
470,USD,3774 ,USD,3774 ,,
471,USD,3778 ,USD,3778 ,USD,1500000 
472,USD,3779 ,USD,3779 ,,
473,USD,3783 ,USD,3783 ,,
474,USD,3784 ,USD,3784 ,,
475,USD,3776895 ,USD,3803 ,EUR,19000000
476,USD,3804 ,USD,3804 ,USD,600000 
477,USD,4224 ,USD,3815 ,DOP,25185569
478,USD,413035 ,USD,3838 ,,
479,USD,3861 ,USD,3861 ,USD,800000 
480,USD,32118 ,USD,3865 ,USD,1500000 
481,USD,3868 ,USD,3868 ,USD,3600000 
482,USD,75504 ,USD,3877 ,USD,70000 
483,USD,16215856 ,USD,3878 ,,
484,USD,11167501 ,USD,3892 ,USD,30000000 
485,USD,3895 ,USD,3895 ,USD,2000000 
486,USD,3911 ,USD,3911 ,,
487,USD,49971 ,USD,3911 ,,
488,USD,3917 ,USD,3917 ,USD,50000 
489,,,USD,3926 ,,
490,USD,52511 ,USD,3929 ,EUR,1000000
491,USD,3935 ,USD,3935 ,,
492,USD,3944 ,USD,3944 ,,
493,USD,3948 ,USD,3948 ,,
494,USD,323748 ,USD,3952 ,,
495,USD,4373 ,USD,3974 ,EUR,76000
496,USD,4000 ,USD,4000 ,USD,1500000 
497,USD,4012 ,USD,4012 ,,
498,USD,89801 ,USD,4015 ,EUR,3700000
499,USD,4955 ,USD,4029 ,EUR,240000
500,USD,4029 ,USD,4029 ,,
501,USD,4032 ,USD,4032 ,,
502,USD,390584 ,USD,4033 ,,
503,USD,4054 ,USD,4054 ,,
504,USD,1107774 ,USD,4055 ,EUR,1000000
505,USD,5405725 ,USD,4067 ,,
506,USD,4076 ,USD,4076 ,CAD,1200000
507,USD,4083 ,USD,4083 ,,
508,USD,64197205 ,USD,4091 ,USD,34000000 
509,USD,4098 ,USD,4098 ,,
510,USD,58221 ,USD,4105 ,,
511,USD,55089 ,USD,4115 ,USD,10000000 
512,USD,4115 ,USD,4115 ,,
513,USD,4119 ,USD,4119 ,,
514,USD,70528 ,USD,4130 ,,
515,USD,4134 ,USD,4134 ,,
516,USD,4141 ,USD,4141 ,,
517,USD,4143 ,USD,4143 ,,
518,USD,4145 ,USD,4145 ,,
519,USD,4153 ,USD,4153 ,,
520,USD,251922 ,USD,4157 ,USD,120000 
521,USD,192030 ,USD,4164 ,,
522,USD,4168 ,USD,4168 ,,
523,USD,4171 ,USD,4171 ,,
524,USD,4175 ,USD,4175 ,USD,1000000 
525,USD,86822 ,USD,4176 ,,
526,USD,116559 ,USD,4187 ,,
527,USD,4190 ,USD,4190 ,,
528,USD,4198 ,USD,4198 ,USD,937000 
529,USD,4210 ,USD,4210 ,,
530,USD,4215 ,USD,4215 ,,
531,USD,4218 ,USD,4218 ,,
532,USD,4224 ,USD,4224 ,,
533,USD,4252 ,USD,4252 ,,
534,,,USD,4264 ,,
535,USD,4280 ,USD,4280 ,GBP,700000
536,USD,4282 ,USD,4282 ,,
537,USD,2234889 ,USD,4283 ,,
538,USD,4287 ,USD,4287 ,,
539,USD,1257142 ,USD,4288 ,USD,7000000 
540,USD,4295 ,USD,4295 ,,
541,USD,4296 ,USD,4296 ,,
542,USD,471880 ,USD,4308 ,,
543,USD,4332 ,USD,4332 ,,
544,,,USD,4333 ,,
545,USD,69423 ,USD,4351 ,,
546,USD,4373 ,USD,4373 ,,
547,USD,4380 ,USD,4380 ,,
548,USD,4381 ,USD,4381 ,EUR,5000
549,USD,4390 ,USD,4390 ,,
550,,,USD,4391 ,,
551,USD,4404 ,USD,4404 ,USD,1300000 
552,USD,4405 ,USD,4405 ,,
553,USD,4412 ,USD,4412 ,USD,200000 
554,USD,4417 ,USD,4417 ,,
555,USD,219229 ,USD,4444 ,,
556,USD,4447 ,USD,4447 ,USD,7000000 
557,USD,4461 ,USD,4461 ,,
558,USD,4480 ,USD,4480 ,USD,250000 
559,USD,54256 ,USD,4480 ,,
560,USD,280024 ,USD,4487 ,,
561,,,USD,4488 ,,
562,USD,6681 ,USD,4502 ,,
563,USD,4505 ,USD,4505 ,,
564,USD,4509 ,USD,4509 ,EUR,1450000
565,USD,73270 ,USD,4526 ,,
566,USD,158992 ,USD,4529 ,GBP,150000
567,USD,4534 ,USD,4534 ,,
568,USD,4535 ,USD,4535 ,,
569,USD,101690 ,USD,4537 ,USD,13000000 
570,USD,4546 ,USD,4546 ,,
571,USD,4550 ,USD,4550 ,USD,1693000 
572,USD,4556 ,USD,4556 ,,
573,USD,4558 ,USD,4558 ,,
574,USD,4564 ,USD,4564 ,USD,1500000 
575,USD,118263 ,USD,4571 ,USD,20000000 
576,USD,4603 ,USD,4603 ,,
577,USD,2235052 ,USD,4605 ,,
578,USD,4608 ,USD,4608 ,,
579,USD,138535 ,USD,4611 ,,
580,USD,2160790 ,USD,4629 ,,
581,USD,807436 ,USD,4630 ,EUR,1000000
582,USD,122919 ,USD,4631 ,,
583,USD,108681 ,USD,4636 ,,
584,USD,836709 ,USD,4640 ,,
585,USD,10731 ,USD,4643 ,USD,2500000 
586,USD,4698 ,USD,4646 ,,
587,USD,4650 ,USD,4650 ,,
588,USD,12155249 ,USD,4655 ,USD,3000000 
589,USD,4661 ,USD,4661 ,,
590,USD,19830 ,USD,4662 ,,
591,USD,730762 ,USD,4665 ,,
592,USD,4667 ,USD,4667 ,,
593,USD,4673 ,USD,4673 ,DEM,4000000
594,USD,4673 ,USD,4673 ,DEM,20000000
595,USD,4688 ,USD,4688 ,,
596,USD,4701 ,USD,4701 ,,
597,USD,42927 ,USD,4704 ,,
598,USD,4725 ,USD,4725 ,,
599,USD,4759 ,USD,4759 ,,
600,USD,416178 ,USD,4764 ,,
601,USD,4769 ,USD,4769 ,,
602,USD,4780 ,USD,4780 ,,
603,USD,4800 ,USD,4800 ,,
604,USD,5000 ,USD,4800 ,,
605,,,USD,4801 ,,
606,USD,17646627 ,USD,4803 ,USD,10000000 
607,USD,12113 ,USD,4816 ,,
608,USD,4827 ,USD,4827 ,,
609,USD,4349187 ,USD,4833 ,GBP,7500000
610,,,USD,4841 ,,
611,,,USD,4843 ,,
612,USD,4847 ,USD,4847 ,,
613,USD,4868 ,USD,4868 ,CAD,1500000
614,USD,4870 ,USD,4870 ,EUR,470000
615,USD,4871 ,USD,4871 ,,
616,USD,102819 ,USD,4876 ,USD,500000 
617,USD,4900 ,USD,4900 ,,
618,USD,80038 ,USD,4916 ,CAD,2000000
619,USD,4917 ,USD,4917 ,,
620,USD,16504936 ,USD,4936 ,AUD,25000000
621,USD,4950 ,USD,4950 ,,
622,USD,4960 ,USD,4960 ,,
623,USD,145587 ,USD,4970 ,,
624,USD,4975 ,USD,4975 ,,
625,USD,5000 ,USD,5000 ,USD,9000 
626,USD,5000 ,USD,5000 ,,
627,USD,5006 ,USD,5006 ,GBP,380000
628,USD,62468 ,USD,5006 ,USD,4600000 
629,USD,5007 ,USD,5007 ,,
630,USD,5010 ,USD,5010 ,USD,200000 
631,USD,5012 ,USD,5012 ,USD,1100000 
632,USD,3142154 ,USD,5043 ,USD,5000000 
633,USD,5063 ,USD,5063 ,,
634,USD,60705 ,USD,5063 ,,
635,USD,5063 ,USD,5063 ,,
636,USD,5065 ,USD,5065 ,,
637,USD,5073 ,USD,5073 ,USD,3000000 
638,USD,5073 ,USD,5073 ,,
639,USD,5076 ,USD,5076 ,,
640,USD,1009888 ,USD,5083 ,USD,2700000 
641,USD,5083 ,USD,5083 ,,
642,USD,88512 ,USD,5086 ,,
643,USD,5088 ,USD,5088 ,,
644,USD,5101 ,USD,5101 ,USD,3000000 
645,USD,63469 ,USD,5102 ,,
646,USD,5107 ,USD,5107 ,USD,1200000 
647,USD,179443 ,USD,5114 ,,
648,USD,5122 ,USD,5122 ,,
649,USD,5123 ,USD,5123 ,,
