,show_id,type,title,day,month,year,duration,duration_unit,rating,director,cast,country,date_added,listed_in,description
2941,80993627,TV Show,Unrequited Love,17,7,2019,1,Season,TV-14,,"Zhu Yanmanzi, Zhao Shunran, Shen Yu, Zhang Yichi, Mengqin, Esther Chen, Zhang Zhehao, He Meixuan, Yuan Baizihui",China,2019-07-17,"International TV Shows, Romantic TV Shows, TV Dramas","A complicated, one-sided secret attraction sends ripples through the lives of a mild-mannered student and her dashing classmate."
2951,70201870,TV Show,Angel Beats!,15,7,2019,1,Season,TV-14,,"Hiroshi Kamiya, Harumi Sakurai, Kana Hanazawa, Eri Kitamura, Ryohei Kimura, Takahiro Mizushima, Shun Takagi, Fuko Saito, Yui Makino, Hiro Masuda, Michael Rivas, Eiichiro Tokumoto, Yumiko Kobayashi, Hiroki Touchi, Miyuki Sawashiro, Chie Matsuura, Kana Asumi, Emiri Kato",Japan,2019-07-15,"Anime Series, International TV Shows","In a high school that's a way station to the afterlife, a teenager gets caught up in the battle for the rights of those in this purgatorial world."
2952,80075178,TV Show,Anohana: The Flower We Saw That Day,15,7,2019,1,Season,TV-PG,,"Miyu Irino, Ai Kayano, Haruka Tomatsu, Takahiro Sakurai, Saori Hayami, Takayuki Kondo, Mitsuru Ogata, Mutsumi Tamura, Asami Seto, Aki Toyosaki, Kaoru Mizuhara, Yui Makino",Japan,2019-07-15,"Anime Series, International TV Shows, Teen TV Shows",A teen haunted by the spirit of an old friend summons the other members of their childhood club to help fulfill the girl's final wish.
2953,80145805,TV Show,God Eater,15,7,2019,1,Season,TV-MA,,"Ryuichi Kijima, Hiroaki Hirata, Kazuya Nakai, Sayaka Ohara, Daisuke Sakaguchi, Maaya Sakamoto",Japan,2019-07-15,"Anime Series, International TV Shows",An enemy immune to conventional arms has caused the collapse of civilization and humanity's only hope lies in a new living weapon: the God Arc.
2954,80214010,TV Show,GRANBLUE FANTASY the Animation,15,7,2019,1,Season,TV-14,,"Yuki Ono, Nao Toyama, Rie Kugimiya, Miyuki Sawashiro, Hiroaki Hirata, Yukari Tamura, Kazuhiro Yamaji, Rie Tanaka, Emiri Kato, Tomokazu Sugita, Kanae Ito",Japan,2019-07-15,"Anime Series, International TV Shows","In a world where islands float in the sky, Gran encounters a mysterious girl wanted by the Erste Empire for her ability to summon Primal Beasts."
2955,81154166,TV Show,Grizzy et les Lemmings,15,7,2019,1,Season,TV-Y7,,"Pierre-Alain de Garrigues, Josselin Charier",France,2019-07-15,"Kids' TV, TV Comedies","Strong, whip-smart Grizzy rules a Canadian forest, where he has his paws full with a family of frolicsome lemmings."
2982,80244246,TV Show,Blood & Treasures,14,7,2018,1,Season,TV-14,,"Nawat Kulrattanarak, Woranuch Wongsawan, Jespipat Tilapornputt, Paramej Noiam, Phutharit Prombandal",,2018-07-14,"International TV Shows, TV Dramas, TV Sci-Fi & Fantasy","Condemned by a centuries-old vow to protect her kingdom's treasures, an embittered spirit returns to seek justice against the man who wronged her."
2984,81005504,TV Show,Meteor Garden,14,7,2018,1,Season,TV-PG,,"Shen Yue, Dylan Wang, Darren Chen, Connor Liang, Caesar Wu",China,2018-07-14,"International TV Shows, Romantic TV Shows, TV Dramas","Dong Shancai is determined to excel at her dream university, where she encounters an elite clique of dashing, popular high-achievers – and finds love."
2989,80103331,TV Show,Magi: Adventure of Sinbad,14,7,2016,1,Season,TV-14,,"Daisuke Ono, Tomokazu Sugita, Takahiro Sakurai, Keiji Fujiwara, Akira Ishida, Katsuyuki Konishi, Yoko Hikasa, Ai Kayano, Takehito Koyasu, Hiroki Touchi",Japan,2016-07-14,"Anime Series, International TV Shows",The Magi who became High King of the Seven Seas started as a boy determined to make the world a better place. He begins with a dangerous dungeon.
2992,80244363,TV Show,Fatal Destiny,13,7,2018,1,Season,TV-14,,"Arucha Tosawat, Nappon Gomarachun, Phakin Khamwilaisak, Ratchawin Wongviriya, Penpak Sirikul, Saksit Tangtong",,2018-07-13,"Crime TV Shows, International TV Shows, TV Action & Adventure",A young man from a humble family is drawn into a life of crime – and soon confronts a determined cop in hot pursuit.
